freq	dBm(outm1f)
2.50000000000000000E10	-9.85553971473777679E1
2.50018181818181784E10	-1.01986679228369903E2
2.50036363636363657E10	-9.18588839853441641E1
2.50054545454545396E10	-8.71839539483436887E1
2.50072727272727269E10	-8.85577618775162811E1
2.50090909090909097E10	-1.01818315854565489E2
2.50109090909090881E10	-8.53309821101729504E1
2.50127272727272665E10	-9.60208398844554800E1
2.50145454545454582E10	-8.97945444944311433E1
2.50163636363636277E10	-8.51005415728193704E1
2.50181818181818194E10	-8.84159996109920066E1
2.50199999999999978E10	-9.74797631606531034E1
2.50218181818181806E10	-9.46968273508935177E1
2.50236363636363723E10	-9.46052108671467451E1
2.50254545454545418E10	-1.04305838264694817E2
2.50272727272727291E10	-9.05251725022758613E1
2.50290909090909119E10	-8.89337396893975729E1
2.50309090909090903E10	-9.07765519095455176E1
2.50327272727272732E10	-8.84638395023104529E1
2.50345454545454604E10	-8.79123026726719203E1
2.50363636363636299E10	-9.23968581437030601E1
2.50381818181818172E10	-8.77893586681930849E1
2.50400000000000000E10	-9.61888627431429732E1
2.50418181818181784E10	-1.01055641930534224E2
2.50436363636363701E10	-8.45827469494400752E1
2.50454545454545396E10	-8.97368131199026564E1
2.50472727272727314E10	-9.21008515827937835E1
2.50490909090909097E10	-9.26590256194237050E1
2.50509090909090926E10	-9.33336542939145275E1
2.50527272727272710E10	-1.00045578744883379E2
2.50545454545454582E10	-9.16219567574593086E1
2.50563636363636322E10	-9.49948621677326521E1
2.50581818181818194E10	-9.64653236500694256E1
2.50599999999999978E10	-8.83503577510089855E1
2.50618181818181807E10	-1.03453732016506583E2
2.50636363636363679E10	-8.76078997910288848E1
2.50654545454545374E10	-9.06298725509465797E1
2.50672727272727291E10	-8.71460536243575845E1
2.50690909090909120E10	-9.91228773928117768E1
2.50709090909090904E10	-8.87753311779149001E1
2.50727272727272688E10	-9.37119233757220549E1
2.50745454545454605E10	-9.09128290072940359E1
2.50763636363636300E10	-9.30352746312524737E1
2.50781818181818217E10	-9.73584758539602113E1
2.50800000000000001E10	-8.92918857260034216E1
2.50818181818181829E10	-1.00822690682921134E2
2.50836363636363702E10	-1.00597859925065358E2
2.50854545454545441E10	-9.35626887070924340E1
2.50872727272727314E10	-1.16654610626240274E2
2.50890909090909098E10	-8.94069588407275262E1
2.50909090909090882E10	-9.24776139383460993E1
2.50927272727272710E10	-9.06308732131331318E1
2.50945454545454627E10	-9.81058556841747986E1
2.50963636363636322E10	-1.01075242673972543E2
2.50981818181818195E10	-9.12331529425827981E1
2.51000000000000023E10	-9.43093864269141235E1
2.51018181818181807E10	-8.76434495365514366E1
