freq	delay(2,1)
3.00000000000000000E10	1.88340587397387993E-12
3.00009999999999977E10	1.88394050825783954E-12
3.00019999999999998E10	1.88447537301456691E-12
3.00030000000000019E10	1.88501047021454093E-12
3.00039999999999996E10	1.88554579755009666E-12
3.00050000000000017E10	1.88608135700031765E-12
3.00059999999999993E10	1.88661714823654547E-12
3.00069999999999970E10	1.88715317132558513E-12
3.00080000000000036E10	1.88768942581106436E-12
3.00090000000000057E10	1.88822591293396913E-12
3.00100000000000033E10	1.88876263165570979E-12
3.00110000000000010E10	1.88929958292863276E-12
3.00119999999999987E10	1.88983676652306087E-12
3.00129999999999963E10	1.89037418265768098E-12
3.00139999999999985E10	1.89091183178814237E-12
3.00149999999999961E10	1.89144971362058323E-12
3.00159999999999982E10	1.89198782869088533E-12
3.00169999999999959E10	1.89252617695301351E-12
3.00180000000000025E10	1.89306475754883041E-12
3.00190000000000001E10	1.89360357264144596E-12
3.00199999999999978E10	1.89414262036769698E-12
3.00209999999999955E10	1.89468190187616492E-12
3.00219999999999976E10	1.89522141762623875E-12
3.00230000000000041E10	1.89576116679402595E-12
3.00240000000000018E10	1.89630115014879408E-12
3.00249999999999995E10	1.89684136767955813E-12
3.00260000000000016E10	1.89738181975583764E-12
3.00269999999999992E10	1.89792250641235016E-12
3.00280000000000014E10	1.89846342706281845E-12
3.00290000000000035E10	1.89900458273553463E-12
3.00300000000000011E10	1.89954597349439647E-12
3.00309999999999988E10	1.90008759923963222E-12
3.00320000000000009E10	1.90062946011633160E-12
3.00330000000000030E10	1.90117155627051293E-12
3.00340000000000007E10	1.90171388778838812E-12
3.00350000000000028E10	1.90225645478547412E-12
3.00360000000000005E10	1.90279925718163367E-12
3.00369999999999981E10	1.90334229548180489E-12
3.00380000000000003E10	1.90388557061353136E-12
3.00389999999999979E10	1.90442908079757189E-12
3.00400000000000000E10	1.90497282775517185E-12
3.00409999999999977E10	1.90551681113840021E-12
3.00419999999999954E10	1.90606103064593979E-12
3.00429999999999975E10	1.90660548654591633E-12
3.00439999999999996E10	1.90715017966516776E-12
3.00449999999999973E10	1.90769511008608550E-12
3.00459999999999994E10	1.90824027748225422E-12
3.00469999999999970E10	1.90878568152864858E-12
3.00480000000000036E10	1.90933132308800269E-12
3.00490000000000013E10	1.90987720204477940E-12
3.00499999999999989E10	1.91042331870058590E-12
3.00509999999999966E10	1.91096967306351861E-12
3.00519999999999987E10	1.91151626534604446E-12
3.00530000000000053E10	1.91206309585839040E-12
3.00540000000000029E10	1.91261016439863774E-12
3.00550000000000006E10	1.91315747105019085E-12
3.00560000000000027E10	1.91370501583410668E-12
3.00570000000000004E10	1.91425280036702117E-12
3.00580000000000025E10	1.91480082251545580E-12
3.00590000000000046E10	1.91534908394492431E-12
3.00600000000000023E10	1.91589758483781680E-12
3.00609999999999999E10	1.91644632402322412E-12
3.00620000000000021E10	1.91699530254515604E-12
3.00629999999999997E10	1.91754452098237005E-12
3.00640000000000018E10	1.91809397879068921E-12
3.00649999999999995E10	1.91864367644029277E-12
3.00659999999999972E10	1.91919361356083451E-12
3.00669999999999948E10	1.91974379016156771E-12
3.00680000000000014E10	1.92029420781176463E-12
3.00689999999999991E10	1.92084486529332499E-12
3.00700000000000012E10	1.92139576305938098E-12
3.00709999999999988E10	1.92194690204015339E-12
3.00719999999999965E10	1.92249828046428761E-12
3.00729999999999986E10	1.92304990087554506E-12
3.00740000000000007E10	1.92360176169701780E-12
3.00749999999999984E10	1.92415386380392683E-12
3.00760000000000005E10	1.92470620712720386E-12
3.00769999999999982E10	1.92525879157412749E-12
3.00780000000000047E10	1.92581161743953189E-12
3.00790000000000024E10	1.92636468536307159E-12
3.00800000000000001E10	1.92691799489546645E-12
3.00809999999999977E10	1.92747154659300568E-12
3.00819999999999999E10	1.92802534025669159E-12
3.00830000000000064E10	1.92857937536659896E-12
3.00840000000000041E10	1.92913365392580638E-12
3.00850000000000017E10	1.92968817459543374E-12
3.00860000000000039E10	1.93024293707532557E-12
3.00870000000000015E10	1.93079794374163427E-12
3.00879999999999992E10	1.93135319219054780E-12
3.00889999999999969E10	1.93190868439401964E-12
3.00899999999999945E10	1.93246441959399551E-12
3.00909999999999966E10	1.93302039840681839E-12
3.00919999999999943E10	1.93357662014665976E-12
3.00930000000000009E10	1.93413308584978516E-12
3.00940000000000030E10	1.93468979520555084E-12
3.00950000000000006E10	1.93524674870968894E-12
3.00959999999999983E10	1.93580394613320506E-12
3.00969999999999960E10	1.93636138755791642E-12
3.00980000000000025E10	1.93691907354937243E-12
3.00990000000000002E10	1.93747700390269362E-12
3.01000000000000023E10	1.93803517929255786E-12
3.01010000000000000E10	1.93859359921225582E-12
3.01019999999999976E10	1.93915226363755178E-12
3.01029999999999998E10	1.93971117383500191E-12
3.01040000000000019E10	1.94027032870738836E-12
3.01049999999999995E10	1.94082972917141561E-12
3.01060000000000016E10	1.94138937516123589E-12
3.01069999999999993E10	1.94194926638408538E-12
3.01080000000000059E10	1.94250940365526703E-12
3.01090000000000035E10	1.94306978711970713E-12
3.01100000000000012E10	1.94363041618333732E-12
3.01109999999999989E10	1.94419129193617879E-12
3.01120000000000010E10	1.94475241362648754E-12
3.01129999999999987E10	1.94531378179891323E-12
3.01139999999999963E10	1.94587539701107981E-12
3.01149999999999984E10	1.94643725855643046E-12
3.01159999999999961E10	1.94699936719517863E-12
3.01169999999999982E10	1.94756172333958721E-12
3.01180000000000003E10	1.94812432576356298E-12
3.01189999999999980E10	1.94868717663457569E-12
3.01199999999999957E10	1.94925027433549625E-12
3.01209999999999978E10	1.94981361977674150E-12
3.01219999999999954E10	1.95037721344720438E-12
3.01230000000000020E10	1.95094105475812607E-12
3.01240000000000041E10	1.95150514419997867E-12
3.01250000000000018E10	1.95206948159173832E-12
3.01259999999999994E10	1.95263406761508174E-12
3.01269999999999971E10	1.95319890228071102E-12
3.01280000000000037E10	1.95376398580188160E-12
3.01290000000000013E10	1.95432931780865893E-12
3.01300000000000034E10	1.95489489869001143E-12
3.01310000000000011E10	1.95546072877217547E-12
3.01319999999999988E10	1.95602680814741192E-12
3.01330000000000009E10	1.95659313714138294E-12
3.01340000000000030E10	1.95715971530952837E-12
3.01350000000000007E10	1.95772654287548531E-12
