Trace
Swept SA
A.25.05,N9030A
544 B1X B1Y B25 B40 CR3 DP2 EP1 EXM FS1 FSA FT1 LFE MPB NFE NUL P44 PFR RT1 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.0048
Start Frequency,0
Stop Frequency,50000000
Average Count,0
Average Type,LogPower(Video)
RBW,100000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,82000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,6
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,-56.7959175109865
50000,-57.6132125854495
100000,-59.9694519042986
150000,-72.9968033222393
200000,-63.4344062805433
250000,-74.9731828556893
300000,-63.0116195678894
350000,-63.9133567810424
400000,-60.667106628421
450000,-74.0475617322977
500000,-64.1856536865686
550000,-63.7803153992028
600000,-52.3693008422852
650000,-51.5979614257813
700000,-50.4055023193359
750000,-56.7454109191896
800000,-51.1477432250977
850000,-58.6620597839362
900000,-70.8961334302938
950000,-72.9300232286658
1000000,-69.6562042264939
1050000,-69.5735931423384
1100000,-67.8300323493405
1150000,-93.988405598767
1200000,-82.8493914976786
1250000,-87.5233100678616
1300000,-73.2651596529152
1350000,-83.7407289894252
1400000,-73.4571228561822
1450000,-85.4135838535309
1500000,-71.5023269773106
1550000,-73.0490723049061
1600000,-69.7349472076893
1650000,-87.2850135546759
1700000,-88.0130332793264
1750000,-91.0818351641523
1800000,-80.7438499068322
1850000,-85.483957422963
1900000,-86.8234504290936
1950000,-88.6274207946088
2000000,-71.2796020610461
2050000,-85.941614405021
2100000,-72.2150802822836
2150000,-93.2012199298205
2200000,-72.4369278203928
2250000,-74.9481508062006
2300000,-70.9309387285843
2350000,-96.8712867633183
2400000,-82.390020501296
2450000,-92.5475562945637
2500000,-76.2024388041634
2550000,-87.0479224842622
2600000,-80.8669899697884
2650000,-91.4787544146618
2700000,-76.3301091395177
2750000,-90.4622291460182
2800000,-77.3772975581151
2850000,-92.9498924151713
2900000,-87.0688804318592
2950000,-101.549280537732
3000000,-87.7897514172153
3050000,-91.0278266802635
3100000,-87.1877311433399
3150000,-87.0002769140849
3200000,-79.5846389310693
3250000,-85.1966343056731
3300000,-86.3401435129116
3350000,-86.2144187073394
