freq	dBm(fashef)
2.50000000000000000E10	-9.22278717710943496E1
2.50018181818181784E10	-9.26715798752343112E1
2.50036363636363657E10	-1.05169807818092131E2
2.50054545454545396E10	-9.89463438177210897E1
2.50072727272727269E10	-8.67310349724701091E1
2.50090909090909097E10	-9.45379545011281763E1
2.50109090909090881E10	-8.99946779997353197E1
2.50127272727272665E10	-9.41642634327731542E1
2.50145454545454582E10	-9.63343481863568840E1
2.50163636363636277E10	-9.32043753780496331E1
2.50181818181818194E10	-8.81726147583776410E1
2.50199999999999978E10	-9.72937644918869182E1
2.50218181818181806E10	-9.20250217653879332E1
2.50236363636363723E10	-8.80309309450662880E1
2.50254545454545418E10	-9.31371200118387854E1
2.50272727272727291E10	-9.20452505556860245E1
2.50290909090909119E10	-1.04178521434572136E2
2.50309090909090903E10	-9.98257170347121381E1
2.50327272727272732E10	-9.08250844815874103E1
2.50345454545454604E10	-1.05037694802036463E2
2.50363636363636299E10	-8.95166072154494685E1
2.50381818181818172E10	-9.15202933672188657E1
2.50400000000000000E10	-9.30732581845306228E1
2.50418181818181784E10	-9.53262198888296730E1
2.50436363636363701E10	-1.03796996163168465E2
2.50454545454545396E10	-1.05136404989853327E2
2.50472727272727314E10	-8.91627831835905660E1
2.50490909090909097E10	-9.10234572592766789E1
2.50509090909090926E10	-9.15109943634569589E1
2.50527272727272710E10	-8.57743106524930532E1
2.50545454545454582E10	-8.54588929114501283E1
2.50563636363636322E10	-1.07733150053848115E2
2.50581818181818194E10	-9.35335463342915752E1
2.50599999999999978E10	-9.58262518607347502E1
2.50618181818181807E10	-9.10779223496607848E1
2.50636363636363679E10	-8.90567739626046695E1
2.50654545454545374E10	-9.26947287411761245E1
2.50672727272727291E10	-1.02733181276331131E2
2.50690909090909120E10	-8.85078460649172172E1
2.50709090909090904E10	-9.86495407268697733E1
2.50727272727272688E10	-8.64143150205657484E1
2.50745454545454605E10	-9.12461996942265330E1
2.50763636363636300E10	-9.79586752718316234E1
2.50781818181818217E10	-9.91750227434069487E1
2.50800000000000001E10	-9.97021351184135618E1
2.50818181818181829E10	-1.09752071909185966E2
2.50836363636363702E10	-8.87159116435906547E1
2.50854545454545441E10	-8.91856587700451264E1
2.50872727272727314E10	-8.79927611118809772E1
2.50890909090909098E10	-8.98210467146176939E1
2.50909090909090882E10	-9.60304749282192205E1
2.50927272727272710E10	-8.93137878720764355E1
2.50945454545454627E10	-9.66567905693003127E1
2.50963636363636322E10	-9.73399947046308966E1
2.50981818181818195E10	-8.66277070383195280E1
2.51000000000000023E10	-9.34725582362933949E1
2.51018181818181807E10	-1.14399026224369704E2
2.51036363636363680E10	-9.65502796047766410E1
2.51054545454545419E10	-9.34670666241358994E1
2.51072727272727292E10	-9.14225427331407836E1
2.51090909090909076E10	-9.15745472265826344E1
2.51109090909090904E10	-9.21225639941344454E1
2.51127272727272688E10	-8.64064843220566203E1
2.51145454545454561E10	-9.65976079385802855E1
2.51163636363636300E10	-9.91302426446347873E1
2.51181818181818173E10	-9.07259855956605143E1
2.51199999999999957E10	-8.61642309063206469E1
2.51218181818181785E10	-9.97205517417344112E1
2.51236363636363702E10	-9.32123087555461538E1
2.51254545454545397E10	-9.68604671674924234E1
2.51272727272727314E10	-1.16554552360953489E2
2.51290909090909143E10	-8.64692653755521512E1
2.51309090909090926E10	-9.62046003238814329E1
2.51327272727272710E10	-1.03662390728376708E2
2.51345454545454583E10	-9.09670931097874202E1
2.51363636363636322E10	-8.74501473171775423E1
2.51381818181818195E10	-1.00725433449674595E2
2.51400000000000023E10	-1.06146819971640327E2
2.51418181818181807E10	-9.37599283438636100E1
2.51436363636363680E10	-8.80013830274372566E1
2.51454545454545420E10	-8.64210038834792371E1
2.51472727272727292E10	-9.46286869540175957E1
2.51490909090909076E10	-9.43955283787328803E1
2.51509090909090904E10	-9.84863819534959362E1
2.51527272727272688E10	-9.53014147799203926E1
2.51545454545454605E10	-1.03169326231386971E2
2.51563636363636300E10	-8.82374226818572538E1
2.51581818181818218E10	-8.96729088735422941E1
2.51600000000000001E10	-9.95231137913674679E1
2.51618181818181785E10	-9.45246712983857940E1
2.51636363636363658E10	-8.88302666030357813E1
2.51654545454545397E10	-9.24615157050024372E1
2.51672727272727270E10	-8.90859464924206179E1
2.51690909090909098E10	-8.92035784130814413E1
2.51709090909090882E10	-1.00459786212427016E2
2.51727272727272666E10	-9.51281390603617361E1
2.51745454545454583E10	-9.48666245625994087E1
2.51763636363636278E10	-9.50573152513492836E1
2.51781818181818196E10	-9.42224829288077892E1
2.51799999999999979E10	-9.83160822753626107E1
2.51818181818181808E10	-9.71992759086917779E1
2.51836363636363725E10	-9.27749273640628047E1
2.51854545454545420E10	-8.94148192732685132E1
2.51872727272727293E10	-8.67503316466527430E1
2.51890909090909121E10	-8.73130932635458024E1
2.51909090909090905E10	-8.84183222517055789E1
2.51927272727272733E10	-1.03325946926645740E2
2.51945454545454606E10	-8.81837414750625115E1
2.51963636363636301E10	-8.56112202509357445E1
2.51981818181818173E10	-9.27796771195284542E1
2.52000000000000002E10	-9.74432090693387032E1
2.52018181818181786E10	-9.23411188378962322E1
2.52036363636363703E10	-9.55827745803754780E1
2.52054545454545398E10	-1.06328942297094775E2
2.52072727272727315E10	-1.01915848903408479E2
2.52090909090909099E10	-9.03464549346471024E1
2.52109090909090927E10	-8.65230251621276025E1
2.52127272727272711E10	-9.46439119177144761E1
2.52145454545454584E10	-8.59189748109975859E1
2.52163636363636323E10	-8.92876782893498167E1
2.52181818181818196E10	-8.91970355990710928E1
2.52199999999999980E10	-8.91400352094577286E1
2.52218181818181808E10	-8.65388764439282987E1
2.52236363636363681E10	-9.08382867316742271E1
2.52254545454545376E10	-1.02211402697103315E2
2.52272727272727293E10	-8.81627252010971674E1
2.52290909090909121E10	-9.40608434173066499E1
2.52309090909090905E10	-8.59455479244422271E1
2.52327272727272689E10	-8.92532283366784540E1
2.52345454545454606E10	-8.89285137952532878E1
2.52363636363636301E10	-9.57405733949868143E1
2.52381818181818218E10	-9.83469529609287818E1
2.52400000000000002E10	-9.44505682911275279E1
2.52418181818181830E10	-9.36453425366236480E1
2.52436363636363703E10	-9.42612862434530108E1
2.52454545454545443E10	-9.78688132121412124E1
2.52472727272727315E10	-8.53901379066153687E1
2.52490909090909099E10	-9.07585871113859355E1
2.52509090909090883E10	-8.99404206277577423E1
2.52527272727272711E10	-9.28711118362796739E1
