index,region,source,f_GHz,tau_ns,win_len
1,other,fixed,34.583333,0.374755,150
2,other,fixed,34.666667,0.486177,150
3,other,fixed,34.750000,0.393557,150
4,other,fixed,34.833333,0.419652,150
5,other,fixed,35.833333,1.011462,150
6,other,fixed,35.916667,1.113973,150
7,other,fixed,36.000000,1.180994,150
8,other,fixed,36.083333,1.360579,150
9,other,fixed,36.166667,1.572370,150
10,other,fixed,36.250000,1.676706,150
11,other,fixed,36.333333,3.063645,150
12,left_edge,fixed,36.500000,2.798744,150
13,left_edge,fixed,36.583333,2.104950,150
14,left_edge,fixed,36.666667,1.162749,150
15,left_edge,fixed,36.750000,0.657683,150
16,other,adapt,36.820513,3.256912,220
17,other,adapt,36.903846,0.685819,300
18,other,adapt,36.987179,0.742705,300
19,other,adapt,37.070513,0.752770,220
20,other,adapt,37.153846,0.723533,220
21,other,refine,37.198718,1.327712,150
22,right_edge,refine,37.237179,1.317184,150
23,right_edge,fixed,37.250000,1.177252,150
24,right_edge,refine,37.275641,1.239951,150
25,right_edge,refine,37.314103,1.750621,150
26,right_edge,fixed,37.333333,1.966179,150
27,right_edge,refine,37.352564,2.094906,150
28,right_edge,refine,37.391026,2.235667,150
29,right_edge,fixed,37.416667,2.203789,150
30,right_edge,refine,37.429487,2.037471,150
31,right_edge,refine,37.467949,1.932458,150
32,right_edge,fixed,37.500000,1.469948,150
33,other,fixed,38.416667,2.412574,150
34,other,fixed,38.666667,0.981824,150
35,other,fixed,38.750000,1.147033,150
36,other,fixed,38.833333,0.965088,150
37,other,fixed,38.916667,0.949830,150
