index,region,source,f_GHz,tau_ns,win_len
1,other,fixed,35.633333,1.206939,150
2,other,fixed,35.666667,1.076934,150
3,other,fixed,35.700000,2.600653,150
4,other,fixed,35.733333,2.426988,150
5,other,fixed,35.766667,1.941373,150
6,other,fixed,35.800000,1.727309,150
7,other,fixed,35.933333,0.778704,150
8,other,fixed,36.066667,0.488553,150
9,other,fixed,36.100000,1.247697,150
10,other,fixed,36.133333,0.934860,150
11,other,fixed,36.166667,1.197738,150
12,other,fixed,36.233333,1.217835,150
13,other,fixed,36.266667,1.388620,150
14,other,fixed,36.333333,1.347379,150
15,other,fixed,36.366667,1.324628,150
16,other,fixed,36.400000,1.218921,150
17,other,fixed,36.433333,1.959433,150
18,other,fixed,36.466667,2.235891,150
19,left_edge,fixed,36.500000,1.963540,150
20,left_edge,fixed,36.533333,1.969633,150
21,left_edge,fixed,36.566667,1.836742,150
22,left_edge,fixed,36.633333,1.661475,150
23,left_edge,fixed,36.666667,1.726306,150
24,left_edge,fixed,36.700000,1.561377,150
25,left_edge,fixed,36.733333,1.456027,150
26,left_edge,fixed,36.766667,1.719055,150
27,other,adapt,36.828205,1.897492,160
28,other,adapt,36.861538,1.486154,220
29,other,adapt,36.894872,1.802357,220
30,other,adapt,36.928205,1.772320,220
31,other,adapt,36.961538,1.717751,220
32,other,adapt,36.994872,1.695190,220
33,other,adapt,37.028205,1.776066,220
34,other,adapt,37.061538,1.503645,220
35,other,refine,37.110256,1.432646,150
36,other,adapt,37.128205,1.561369,160
37,other,refine,37.141026,1.828198,150
38,other,refine,37.156410,1.845691,150
39,other,refine,37.171795,1.929464,150
40,other,adapt,37.194872,1.569358,160
41,right_edge,refine,37.217949,1.542814,150
42,right_edge,fixed,37.233333,1.571341,150
43,right_edge,refine,37.248718,1.512668,150
44,right_edge,fixed,37.266667,1.511363,150
45,right_edge,refine,37.279487,1.529202,150
46,right_edge,fixed,37.300000,1.532536,150
47,right_edge,fixed,37.333333,1.534562,150
48,right_edge,fixed,37.400000,1.831394,150
49,right_edge,refine,37.417949,2.018807,150
50,right_edge,fixed,37.433333,2.166616,150
51,right_edge,refine,37.448718,2.506731,150
52,right_edge,refine,37.479487,2.616786,150
53,right_edge,fixed,37.500000,2.485145,150
54,other,fixed,37.533333,2.445108,150
55,other,fixed,37.566667,2.282764,150
56,other,fixed,37.633333,1.649746,150
57,other,fixed,37.666667,1.729572,150
