freq	dBm(hunpinf)
0.00000000000000000E0	-7.44320661211208368E1
1.81818181818181834E6	-6.68738059753356584E1
3.63636363636363669E6	-5.74779453572423726E1
5.45454545454545414E6	-3.94548199248496800E1
7.27272727272727337E6	-2.84867374253003414E1
9.09090909090908994E6	-2.13547256405134878E1
1.09090909090909083E7	-1.70234097079353708E1
1.27272727272727249E7	-1.51542440954375413E1
1.45454545454545459E7	-1.59115133197764402E1
1.63636363636363624E7	-2.05124302094892341E1
1.81818181818181790E7	-4.43495409560917420E1
2.00000000000000000E7	-2.44398954535119284E1
2.18181818181818166E7	-2.27175810702660197E1
2.36363636363636420E7	-2.86402513989674556E1
2.54545454545454497E7	-3.61782416540438323E1
2.72727272727272751E7	-2.68347470452106895E1
2.90909090909090917E7	-2.85607521466191283E1
3.09090909090909083E7	-4.78317653312750135E1
3.27272727272727249E7	-3.18658441126668723E1
3.45454545454545459E7	-3.04923586089472431E1
3.63636363636363580E7	-4.03412120660117335E1
3.81818181818181746E7	-3.56721751775602680E1
4.00000000000000000E7	-3.11106896739252559E1
4.18181818181818166E7	-3.48233699896607041E1
4.36363636363636331E7	-5.38879565534406257E1
4.54545454545454497E7	-3.60252114347064056E1
4.72727272727272840E7	-3.70601642019279875E1
4.90909090909090828E7	-5.76010139444183444E1
5.09090909090908994E7	-3.97153685549028967E1
5.27272727272727249E7	-3.93734779506089350E1
5.45454545454545503E7	-5.72283005607831541E1
5.63636363636363491E7	-4.11627960996007847E1
5.81818181818181834E7	-3.94555366969776511E1
6.00000000000000000E7	-4.93338308926063718E1
6.18181818181818166E7	-4.39937372140161997E1
6.36363636363636243E7	-3.96167867168915055E1
6.54545454545454497E7	-4.46922491602633176E1
6.72727272727272663E7	-5.02257107118166779E1
6.90909090909090917E7	-4.11808558500060506E1
7.09090909090909083E7	-4.32458341597614826E1
7.27272727272727160E7	-6.82554265108021507E1
7.45454545454545592E7	-4.41101347083429562E1
7.63636363636363491E7	-4.36185330295312745E1
7.81818181818181746E7	-5.71636480106663214E1
8.00000000000000000E7	-4.66147241588752070E1
8.18181818181818166E7	-4.37606093631295323E1
8.36363636363636331E7	-5.09586864701061604E1
8.54545454545454319E7	-5.17709812936851232E1
8.72727272727272663E7	-4.50436995227962012E1
8.90909090909091006E7	-4.83246407589745353E1
9.09090909090908994E7	-6.40612621391808545E1
9.27272727272727160E7	-4.72039188774465313E1
9.45454545454545681E7	-4.71559848597298270E1
9.63636363636363669E7	-5.73692099470258476E1
9.81818181818181657E7	-5.27197059156087011E1
1.00000000000000000E8	-4.87636097656939604E1
1.01818181818181808E8	-5.38113562378072086E1
1.03636363636363660E8	-5.94971854997504046E1
1.05454545454545445E8	-5.14261768779605255E1
1.07272727272727253E8	-5.50582878338287252E1
1.09090909090909105E8	-6.05978514391460710E1
1.10909090909090891E8	-5.17721582346728404E1
1.12727272727272698E8	-5.37815054268611092E1
1.14545454545454550E8	-7.79463327505811066E1
1.16363636363636358E8	-5.30148001229943766E1
1.18181818181818166E8	-5.24180842862580487E1
1.19999999999999996E8	-6.30584444844202174E1
1.21818181818181803E8	-5.69309147112226999E1
1.23636363636363633E8	-5.31201406505999785E1
1.25454545454545441E8	-5.76946830578504422E1
