freq	dBm(jieshouf)
2.50000000000000000E10	-1.40998245437524039E2
2.50018181818181784E10	-1.40997197688395026E2
2.50036363636363657E10	-1.40996151401240399E2
2.50054545454545396E10	-1.40995099889911546E2
2.50072727272727269E10	-1.40994059359608936E2
2.50090909090909097E10	-1.40993023748673774E2
2.50109090909090881E10	-1.40991982048507536E2
2.50127272727272665E10	-1.40990942719727852E2
2.50145454545454582E10	-1.40989886505416617E2
2.50163636363636277E10	-1.40988803482973379E2
2.50181818181818194E10	-1.40987737784628675E2
2.50199999999999978E10	-1.40986708489868140E2
2.50218181818181806E10	-1.40985673418126112E2
2.50236363636363723E10	-1.40984615407358449E2
2.50254545454545418E10	-1.40983568706765405E2
2.50272727272727291E10	-1.40982530404527173E2
2.50290909090909119E10	-1.40981473131054136E2
2.50309090909090903E10	-1.40980403033804746E2
2.50327272727272732E10	-1.40979337285822592E2
2.50345454545454604E10	-1.40978281882470813E2
2.50363636363636299E10	-1.40977239783808095E2
2.50381818181818172E10	-1.40976209509047368E2
2.50400000000000000E10	-1.40975179294339514E2
2.50418181818181784E10	-1.40974118524970349E2
2.50436363636363701E10	-1.40973037879054486E2
2.50454545454545396E10	-1.40971982560344999E2
2.50472727272727314E10	-1.40970942153977097E2
2.50490909090909097E10	-1.40969882097782562E2
2.50509090909090926E10	-1.40968821495112562E2
2.50527272727272710E10	-1.40967786833291253E2
2.50545454545454582E10	-1.40966752130755224E2
2.50563636363636322E10	-1.40965692433584833E2
2.50581818181818194E10	-1.40964619881868369E2
2.50599999999999978E10	-1.40963548113091375E2
2.50618181818181807E10	-1.40962480099324527E2
2.50636363636363679E10	-1.40961429530027638E2
2.50654545454545374E10	-1.40960399837900585E2
2.50672727272727291E10	-1.40959368381471561E2
2.50690909090909120E10	-1.40958303676443730E2
2.50709090909090904E10	-1.40957222518220382E2
2.50727272727272688E10	-1.40956161159189963E2
2.50745454545454605E10	-1.40955113999018122E2
2.50763636363636300E10	-1.40954057655234988E2
2.50781818181818217E10	-1.40953001320716220E2
2.50800000000000001E10	-1.40951960048466818E2
2.50818181818181829E10	-1.40950917140205734E2
2.50836363636363702E10	-1.40949852443189050E2
2.50854545454545441E10	-1.40948778258925755E2
2.50872727272727314E10	-1.40947707663227950E2
2.50890909090909098E10	-1.40946641987611754E2
2.50909090909090882E10	-1.40945586016587576E2
2.50927272727272710E10	-1.40944549237080574E2
2.50945454545454627E10	-1.40943517220400061E2
2.50963636363636322E10	-1.40942454010416141E2
2.50981818181818195E10	-1.40941360416078565E2
2.51000000000000023E10	-1.40940280761783865E2
2.51018181818181807E10	-1.40939239872060029E2
2.51036363636363680E10	-1.40938205872898514E2
2.51054545454545419E10	-1.40937155424795768E2
2.51072727272727292E10	-1.40936096105492026E2
2.51090909090909076E10	-1.40935025246723411E2
2.51109090909090904E10	-1.40933943139074613E2
2.51127272727272688E10	-1.40932874528323704E2
2.51145454545454561E10	-1.40931826518206771E2
2.51163636363636300E10	-1.40930782467494997E2
2.51181818181818173E10	-1.40929723153611475E2
2.51199999999999957E10	-1.40928652163428247E2
2.51218181818181785E10	-1.40927588109187418E2
2.51236363636363702E10	-1.40926532250464431E2
2.51254545454545397E10	-1.40925464831243374E2
2.51272727272727314E10	-1.40924398440817855E2
2.51290909090909143E10	-1.40923352471362384E2
2.51309090909090926E10	-1.40922303991542930E2
2.51327272727272710E10	-1.40921235477049867E2
2.51345454545454583E10	-1.40920155487806897E2
2.51363636363636322E10	-1.40919078659077246E2
2.51381818181818195E10	-1.40918016074546126E2
2.51400000000000023E10	-1.40916961991352174E2
2.51418181818181807E10	-1.40915906277583747E2
2.51436363636363680E10	-1.40914853390810646E2
2.51454545454545420E10	-1.40913795557794730E2
2.51472727272727292E10	-1.40912715492759388E2
2.51490909090909076E10	-1.40911630395234755E2
2.51509090909090904E10	-1.40910574104932396E2
2.51527272727272688E10	-1.40909538372335374E2
2.51545454545454605E10	-1.40908483832726628E2
2.51563636363636300E10	-1.40907395836850391E2
2.51581818181818218E10	-1.40906306325479447E2
2.51600000000000001E10	-1.40905238082476902E2
2.51618181818181785E10	-1.40904184583867087E2
2.51636363636363658E10	-1.40903135410880842E2
2.51654545454545397E10	-1.40902081397811396E2
2.51672727272727270E10	-1.40901014692189852E2
2.51690909090909098E10	-1.40899936046258367E2
2.51709090909090882E10	-1.40898852061253632E2
2.51727272727272666E10	-1.40897779539503598E2
2.51745454545454583E10	-1.40896733998572299E2
2.51763636363636278E10	-1.40895687981741746E2
2.51781818181818196E10	-1.40894607764505397E2
2.51799999999999979E10	-1.40893509647484860E2
2.51818181818181808E10	-1.40892435318573805E2
2.51836363636363725E10	-1.40891389884137697E2
2.51854545454545420E10	-1.40890342234964461E2
2.51872727272727293E10	-1.40889273976717044E2
2.51890909090909121E10	-1.40888194883476348E2
2.51909090909090905E10	-1.40887116564899673E2
2.51927272727272733E10	-1.40886042863086880E2
2.51945454545454606E10	-1.40884974698940324E2
2.51963636363636301E10	-1.40883908331157337E2
2.51981818181818173E10	-1.40882843680089676E2
2.52000000000000002E10	-1.40881776727939156E2
2.52018181818181786E10	-1.40880699693218459E2
2.52036363636363703E10	-1.40879626379305334E2
2.52054545454545398E10	-1.40878567981791969E2
2.52072727272727315E10	-1.40877506625959459E2
2.52090909090909099E10	-1.40876427109052105E2
2.52109090909090927E10	-1.40875336206049684E2
2.52127272727272711E10	-1.40874262013111351E2
2.52145454545454584E10	-1.40873212687896232E2
2.52163636363636323E10	-1.40872157739567605E2
2.52181818181818196E10	-1.40871073038000283E2
2.52199999999999980E10	-1.40869976575071520E2
2.52218181818181808E10	-1.40868898064074521E2
2.52236363636363681E10	-1.40867848256923955E2
2.52254545454545376E10	-1.40866803640495375E2
2.52272727272727293E10	-1.40865728353743114E2
2.52290909090909121E10	-1.40864622442240339E2
2.52309090909090905E10	-1.40863526117538163E2
2.52327272727272689E10	-1.40862463326597065E2
2.52345454545454606E10	-1.40861417722109761E2
2.52363636363636301E10	-1.40860359273879165E2
2.52381818181818218E10	-1.40859279918342306E2
2.52400000000000002E10	-1.40858190089074742E2
2.52418181818181830E10	-1.40857102692996650E2
2.52436363636363703E10	-1.40856026941006207E2
2.52454545454545443E10	-1.40854958999721336E2
2.52472727272727315E10	-1.40853889928033493E2
2.52490909090909099E10	-1.40852815305704038E2
2.52509090909090883E10	-1.40851739056184355E2
2.52527272727272711E10	-1.40850667417324993E2
2.52545454545454584E10	-1.40849598957828404E2
2.52563636363636324E10	-1.40848519893059576E2
2.52581818181818196E10	-1.40847425568556983E2
2.52599999999999980E10	-1.40846336579232578E2
2.52618181818181764E10	-1.40845270927949340E2
2.52636363636363681E10	-1.40844218794275711E2
2.52654545454545376E10	-1.40843156786606527E2
2.52672727272727293E10	-1.40842067048124209E2
2.52690909090909077E10	-1.40840963576673239E2
2.52709090909090905E10	-1.40839874851277247E2
2.52727272727272689E10	-1.40838809279404087E2
2.52745454545454606E10	-1.40837748496283899E2
2.52763636363636301E10	-1.40836672325836676E2
2.52781818181818219E10	-1.40835580718702746E2
