freq	dB(S(2,1))
3.00000000000000000E10	-1.94588014892794803E2
3.00009999999999977E10	-1.94578185225447986E2
3.00019999999999998E10	-1.94568354360899787E2
3.00030000000000019E10	-1.94558522298785763E2
3.00039999999999996E10	-1.94548689038741141E2
3.00050000000000017E10	-1.94538854580401122E2
3.00059999999999993E10	-1.94529018923400865E2
3.00069999999999970E10	-1.94519182067375063E2
3.00080000000000036E10	-1.94509344011958518E2
3.00090000000000057E10	-1.94499504756785768E2
3.00100000000000033E10	-1.94489664301491194E2
3.00110000000000010E10	-1.94479822645709066E2
3.00119999999999987E10	-1.94469979789073522E2
3.00129999999999963E10	-1.94460135731218431E2
3.00139999999999985E10	-1.94450290471777509E2
3.00149999999999961E10	-1.94440444010384494E2
3.00159999999999982E10	-1.94430596346672790E2
3.00169999999999959E10	-1.94420747480275713E2
3.00180000000000025E10	-1.94410897410826422E2
3.00190000000000001E10	-1.94401046137957856E2
3.00199999999999978E10	-1.94391193661302886E2
3.00209999999999955E10	-1.94381339980494228E2
3.00219999999999976E10	-1.94371485095164331E2
3.00230000000000041E10	-1.94361629004945557E2
3.00240000000000018E10	-1.94351771709470178E2
3.00249999999999995E10	-1.94341913208370154E2
3.00260000000000016E10	-1.94332053501277424E2
3.00269999999999992E10	-1.94322192587823794E2
3.00280000000000014E10	-1.94312330467640715E2
3.00290000000000035E10	-1.94302467140359569E2
3.00300000000000011E10	-1.94292602605611786E2
3.00309999999999988E10	-1.94282736863028305E2
3.00320000000000009E10	-1.94272869912240109E2
3.00330000000000030E10	-1.94263001752878095E2
3.00340000000000007E10	-1.94253132384572713E2
3.00350000000000028E10	-1.94243261806954526E2
3.00360000000000005E10	-1.94233390019653851E2
3.00369999999999981E10	-1.94223517022300740E2
3.00380000000000003E10	-1.94213642814525267E2
3.00389999999999979E10	-1.94203767395957283E2
3.00400000000000000E10	-1.94193890766226351E2
3.00409999999999977E10	-1.94184012924962057E2
3.00419999999999954E10	-1.94174133871793808E2
3.00429999999999975E10	-1.94164253606350679E2
3.00439999999999996E10	-1.94154372128261743E2
3.00449999999999973E10	-1.94144489437155987E2
3.00459999999999994E10	-1.94134605532661975E2
3.00469999999999970E10	-1.94124720414408247E2
3.00480000000000036E10	-1.94114834082023369E2
3.00490000000000013E10	-1.94104946535135459E2
3.00499999999999989E10	-1.94095057773372615E2
3.00509999999999966E10	-1.94085167796362690E2
3.00519999999999987E10	-1.94075276603733538E2
3.00530000000000053E10	-1.94065384195112789E2
3.00540000000000029E10	-1.94055490570127676E2
